Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1930,7,19,15,20,12,2,1,6.5,0,-9.3,114.3,0.1,1,-3.3,,,,,,,,,,INDONESIA,SOUTH OF JAVA
1930,8,31,0,40,38,3,3,5.2,0,34.03,-118.643,3.05,3,-1,-0.5,1,,,,,1,,,USA,S. CALIFORNIA
1930,9,11,9,52,,4,6,,1,38.789,15.213,2.5,1,,3,6,,,20,,2,,,ITALY,STROMBOLI ISLAND
1930,9,11,,,,1,1,,0,1.2,124.57,,1,,0,,,,,,,,,INDONESIA,CELEBES SEA
1930,9,30,21,20,54.1,3,1,6.6,0,-4.423,145.46,,1,,,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1930,10,30,7,13,10,4,1,5.9,0,43.667,13.267,,0,,4,18,,,,,3,,,ITALY,CENTRAL ADRIATIC
1930,11,5,,,,3,1,,0,-4.05,39.667,6,1,,,,,,,,,,,KENYA,MOMBASA
1930,12,23,21,35,36,4,1,6.5,0,-1.3,144.3,12,29,3.4,1.5,27,,,8,,2,104,,PAPUA NEW GUINEA,BISMARCK SEA
1930,12,29,8,26,24,2,1,6,0,-28.5,-71,1,1,,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1931,2,2,22,46,51.3,4,3,7.7,2,-39.772,176.025,15,5,,0,261,,,400,25,4,,,NEW ZEALAND,N. NEW ZEALAND
1931,2,13,1,27,16,1,1,7.1,0,-39.5,177,0.1,1,,0,,,,,,,,,NEW ZEALAND,N. NEW ZEALAND
1931,2,19,,,,1,1,,0,-39.5,177,,1,,,,,,,,,,,NEW ZEALAND,N. NEW ZEALAND
1931,3,9,3,49,0,4,1,7.6,0,41.2,142.5,0.4,7,-1.3,-1,,,,,,,,,JAPAN,SANRIKU
1931,3,18,8,2,23,2,1,7.1,0,-32.5,-72,,0,,,,,,,,,,,CHILE,CENTRAL CHILE
1931,6,7,0,25,21,2,1,6,0,54,1.067,,0,,,,,,,,,,,UK,"DOGGER BANK, ENGLAND"
1931,8,7,2,11,44.2,1,1,7,0,-3.417,142.077,,2,,,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1931,8,19,,,,1,9,,0,39.35,-74.417,3,4,,,4,,,,,,,,USA,"ATLANTIC CITY, NJ"
1931,8,31,,,,1,0,,0,38.4,-27.1,,2,,,,,,,,1,,,PORTUGAL,AZORES
1931,9,25,5,59,44,3,1,7.4,0,-5,102.75,1,1,4.9,,,,,,,1,,,INDONESIA,SW. SUMATRA
1931,10,3,19,13,20.8,4,1,7.8,0,-10.932,161.016,9,13,3.3,2.5,50,,,,,3,,,SOLOMON ISLANDS,SAN CRISTOBAL ISLAND
1931,11,2,10,2,,4,1,7.1,0,32.2,132.1,0.8,9,-0.3,,1,,,,,,14,,JAPAN,SEIKAIDO
1931,12,1,,,,1,0,,0,22.8,-80.4,1,2,,,,,,,,1,,,CUBA,NORTHERN COAST (LAS VILLAS)
1932,2,3,6,16,,2,1,6.7,0,20,-75.8,,1,,,,,,,,,,,CUBA,SANTIAGO DE CUBA
1932,5,7,,,,-1,9,,0,,,,0,,,,,,,,,,,ITALY,CALABRIAN ARC
1932,6,3,10,36,58.9,4,1,8.1,1,19.623,-103.919,10,19,1.5,2,400,,,120,,3,,,MEXICO,CENTRAL MEXICO
1932,6,18,10,12,33.3,4,1,7.8,0,19.081,-103.631,1,2,1,0.5,,,,,,2,,,MEXICO,CENTRAL MEXICO
1932,6,22,12,59,30.6,4,1,7.7,1,19.242,-104.383,10,6,3.3,1.5,75,,,100,,3,400,,MEXICO,CENTRAL MEXICO
1932,6,29,,,,2,1,,0,,,,0,,,,,,,,,,,MEXICO,S. MEXICO
1932,9,9,13,38,52,2,1,6.2,0,-3.57,128.35,,2,,0,,,,,,3,73,,INDONESIA,BANDA SEA
1932,9,15,13,54,54,2,1,6.8,0,-39,177.5,,1,,0,,,,,,,,,NEW ZEALAND,N. NEW ZEALAND
1932,9,26,19,20,42,1,1,6.9,0,40.5,23.9,2,2,,3,161,,,669,,4,4106,3218,GREECE,NORTH AEGEAN
1932,11,4,,,,1,1,,0,10.5,-64.2,,1,,,,,,,,,,,VENEZUELA,CUMANA
1932,11,10,,,,-1,9,,0,,,5.4,1,,,,,,,,,,,USA,"WILLETTS POINT, NEW YORK"
1933,1,8,16,,,4,6,6,1,49.12,154.508,9,2,3.2,2,2,,,,,,,,RUSSIA,"KHARIMKOTAN, N. KURIL ISLANDS"
1933,2,23,8,9,12,1,1,7.6,0,-20,-71,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1933,3,2,17,31,0.9,4,1,8.4,2,39.224,144.622,29,294,4.9,3.5,3022,,,,,4,6000,,JAPAN,SANRIKU
1933,3,11,1,54,7.8,1,9,6.3,0,33.616,-117.966,0.1,2,-3.3,-3,120,,,,41,4,,,USA,S. CALIFORNIA
1933,4,23,5,57,35,1,1,6.4,0,36.759,27.299,2,1,,2,181,,,600,,3,,,GREECE,"COS, DODECANESE"
1933,5,19,,,,3,1,,0,6.9,0.6,,1,,,,,,,,,,,TOGO,GOLD COAST
1933,6,18,21,37,0,4,1,7.1,0,38.1,142.4,0.2,8,-2.3,,,,,,,,,,JAPAN,SANRIKU
1933,10,2,15,29,21,3,1,6.9,0,-2,-81,,1,0.6,1.5,,,,,,,,,ECUADOR,ECUADOR
1933,12,12,14,11,18,2,1,,0,-5,151,,3,,,,,,,,1,,,PAPUA NEW GUINEA,BISMARCK SEA
1933,12,25,,,,1,6,,0,12.77,124.05,,1,0.5,1,9,,,,,3,,,PHILIPPINES,E. SAMAR ISLAND
1934,1,15,8,43,18,0,1,8,0,26.773,86.76,,0,,,10600,,,,,4,,,NEPAL,"BIHAR-NEPAL, GANGES RIVER"
1934,2,14,3,59,34,4,1,7.9,0,17.5,119,,1,,0.5,,,,,,1,,,PHILIPPINES,SOUTH CHINA SEA
1934,4,7,3,,,4,8,,1,62.27,7.4,62.3,12,,,41,,,,,,,,NORWAY,TAFJORD
1934,6,3,,,,2,1,,0,66,-18.25,,0,,,,,,,,,,,ICELAND,ICELAND
1934,7,18,1,36,24,3,1,7.7,0,8,-82.5,,2,1,1.5,,,,4,0.05,1,,,PANAMA,COSTA RICA-PANAMA
1934,7,18,19,40,24,3,1,7.8,0,-11.907,166.731,0.65,3,-0.7,,,,,,,,,,SOLOMON ISLANDS,SOLOMON ISLANDS
1934,7,21,6,18,23.3,3,1,7.2,0,-11.139,165.503,,3,,,,,,,,,,,SOLOMON ISLANDS,SOLOMON ISLANDS
1934,8,21,,,,0,9,,0,33.7,-118.2,12,9,,3,,,,,0.075,1,1,,USA,S. CALIFORNIA
1934,11,30,2,5,10,4,1,7,0,18.5,-105.5,0.11,1,,,,,,,,,,,MEXICO,MEXICO
1934,12,4,17,24,38,1,1,6.9,0,-19.5,-69.5,,1,,,,,,,,2,,,CHILE,NORTHERN CHILE
1934,12,12,14,15,,1,1,,0,-4.2,152.2,,1,,,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1935,1,4,14,41,30.8,3,3,6.4,0,40.62,27.451,,0,,2,5,,,30,,3,,,TURKEY,MARMARA SEA
1935,5,30,21,32,46,0,1,7.5,0,29.5,66.8,,0,,,60000,,,,25,4,,,PAKISTAN,QUETTA
1935,7,19,0,50,0,4,1,6.5,0,36.6,141.4,0.2,1,-2.3,,,,,,,,,,JAPAN,JAPAN
1935,8,22,20,0,,1,9,,0,,,,0,,,,,,,,1,,,PORTUGAL,AZORES
1935,9,20,1,46,43.5,3,1,7.8,0,-3.824,141.416,,1,,,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1935,10,12,16,45,0,4,1,7.2,0,39.9,143.7,0.3,8,-1.7,-1,,,,,,,,,JAPAN,SANRIKU
1935,10,18,0,11,0,4,1,7,0,40.7,144.3,0.2,2,-2.3,-2,,,,,,,,,JAPAN,SANRIKU
1935,11,21,11,41,,1,9,,0,19.5,-155.5,,1,,2,,,,,,1,,,USA,HAWAII
1935,11,25,10,3,3,2,1,6.5,0,5.5,94,,0,,,,,,,,,,,INDONESIA,CELEBES SEA
1935,12,18,7,10,36,0,1,6,0,28.7,103.6,,1,,,100,,,,,2,,,CHINA,SICHUAN PROVINCE
1935,12,28,2,35,0,1,1,7.9,0,0.001,98.25,,0,,,,,,,,2,,,INDONESIA,SW. SUMATRA
1936,2,2,,,,1,9,,0,,,,0,,,,,,,,,,,NEW ZEALAND,"GOOSE BAY, SOUTH ISLAND"
1936,2,25,,,,1,0,,0,-0.5,166.9,,1,,,,,,,,,,,NAURU,"NAURU, OCEAN ISLAND"
1936,4,1,2,9,15,4,1,7.7,0,4.5,126.5,3,2,1.5,2,,,,3,,2,169,,INDONESIA,SULAWESI
1936,7,13,11,12,15,4,1,7.3,0,-24.5,-70,1,3,,0.5,1,,,40,,2,,,CHILE,NORTHERN CHILE
1936,8,23,21,12,13,2,1,7.3,0,6.1,94.7,,0,,,9,,,20,,2,,,INDONESIA,OFF NORTHWEST COAST
1936,9,13,,,,4,8,,0,61.87,6.851,74,5,,,73,,,,,1,,,NORWAY,LOEN
1936,10,27,15,50,0,4,8,,0,58.6,-137.1,149.35,1,5.6,4,,,,,,,,,USA,"LITUYA BAY, AK"
1936,11,2,20,46,0,4,1,7.7,0,38.2,142.2,0.7,11,-0.5,,,,,,,,,,JAPAN,SANRIKU
1936,11,13,12,31,,2,1,7.3,0,55.2,164,13,1,3.7,2,,,,,,,,,RUSSIA,KAMCHATKA
1936,,,,,,3,0,,0,-20.5,165,2.2,2,,,,,,,,1,,,NEW CALEDONIA,NEW CALEDONIA
1937,5,29,,,,4,6,,1,-4.271,152.203,2.5,4,1.3,1.5,507,,,,,1,,,PAPUA NEW GUINEA,RABAUL
1937,8,20,11,59,16,3,1,7.5,0,14.5,121.5,,2,0.5,1,1,,,,,3,,,PHILIPPINES,W. LUZON ISLAND
1937,9,21,21,2,0,3,1,5.7,0,56,162.5,,0,,1,,,,,,,,,RUSSIA,KAMCHATKA
1937,9,21,,,,-1,0,5.8,0,58,-165,,0,,1,,,,,,,,,USA,"BERING SEA, AK"
1937,9,22,,,,1,0,5.8,0,58,165,,0,,,,,,,,,,,RUSSIA,KAMCHATKA
1937,11,6,,,,2,1,6,0,-3,132.3,0.5,1,-1,,,,,,,,,,INDONESIA,BANDA SEA
1938,1,28,,,,0,6,,0,-1.408,29.2,,1,,,,,,,,,,,CONGO,NYAMURAGIRA
1938,2,1,19,4,18,4,1,8.5,0,-5.25,130.5,1,5,1,1.5,,,,,,2,24,8,INDONESIA,BANDA SEA
1938,2,6,5,0,,2,0,,0,,,,2,,,5,,,35,,,,,AUSTRALIA,"BONDI BEACH, SYDNEY"
1938,2,13,,,,2,1,6,0,-3,132.3,0.5,1,,-0.5,,,,,,1,,,INDONESIA,BANDA SEA
1938,3,6,1,56,,1,1,,0,-5.1,153.1,0.03,1,-3.3,,,,,,,,,,PAPUA NEW GUINEA,SOLOMON SEA
1938,3,22,15,22,0,-1,1,6.3,0,52.2,-131.9,,1,,,,,,,,,,,CANADA,BRITISH COLUMBIA
1938,3,,,,,4,8,,0,62.333,6.967,,0,,2,,,,,,,,,NORWAY,WESTERN NORWAY
1938,5,12,15,38,57,3,1,7.5,0,-6,147.8,,1,1,,,,,,,1,,,PAPUA NEW GUINEA,SOLOMON SEA
1938,5,19,17,8,21,4,1,7.6,0,-1,120,3,6,1.6,,17,,,,,3,942,,INDONESIA,MAKASSAR STRAIT
1938,5,23,7,18,,4,1,7.1,0,36.7,141.4,0.83,7,-0.3,,,,,,,,,,JAPAN,JAPAN TRENCH
1938,5,28,16,42,,4,1,6.1,0,43.6,144.3,0.9,2,-0.1,,1,,,,,1,7,,JAPAN,E. HOKKAIDO ISLAND
1938,6,10,9,53,44.6,4,1,7.6,0,25.321,125.115,1.5,1,0.6,0,,,,,,1,,,JAPAN,RYUKYU ISLANDS
1938,9,21,,,,1,9,,0,39.95,-74.12,,1,,,,,,,,,,,USA,NEW JERSEY COAST
1938,11,5,8,43,21,4,1,7.7,0,37.1,141.7,0.57,17,0.1,-0.5,1,,,,,1,20,,JAPAN,SANRIKU
1938,11,5,10,50,15,4,1,7.6,0,37.2,141.7,0.56,12,0.1,-0.5,,,,,,,,,JAPAN,SANRIKU
1938,11,6,8,53,53,4,1,7.5,0,37.5,141.8,1.26,15,0.4,-0.5,,,,,,,,,JAPAN,OFF FUKUSHIMA PREFECTURE
1938,11,6,21,38,47,4,1,7.1,0,37,141.7,1.25,11,0.3,-0.5,,,,,,,,,JAPAN,OFF FUKUSHIMA PREFECTURE
1938,11,9,2,22,,-1,1,6.5,0,37.6,141.2,,0,,,,,,,,,,,JAPAN,SANRIKU
1938,11,10,20,18,41.2,4,1,8.2,0,55.48,-158.37,0.3,9,-1.7,,,,,,,,,,USA,"SHUMAGIN ISLANDS, AK"
1938,11,13,22,31,,4,1,6,0,37,141.5,0.75,7,-0.5,-1.5,,,,,,,,,JAPAN,SANRIKU
1938,11,16,11,8,0,-1,1,6.9,0,37.4,141.6,,0,,,,,,,,,,,JAPAN,SANRIKU
1938,11,22,1,14,0,4,1,6.9,0,36.7,142.1,0.3,4,-1.7,-2.5,,,,,,,,,JAPAN,SANRIKU
1938,11,30,2,29,0,4,1,7,0,37,142.2,0.2,9,-2.3,-3,,,,,,,,,JAPAN,SANRIKU
1939,1,25,3,32,14,1,1,8.3,0,-36.25,-72.25,,0,,,30000,,,,920,4,,,CHILE,CENTRAL CHILE
1939,1,27,20,10,15,1,1,,0,38.5,14.7,,0,,2,,,,,,,,,ITALY,CALABRIAN ARC
1939,1,30,2,18,30,2,1,7.7,0,-7.08,155.386,,3,0.9,1,5,,,,,2,,,PAPUA NEW GUINEA,SOLOMON SEA
1939,3,20,3,22,,4,1,6.6,0,32.3,132,0.8,4,-0.3,0,1,,,,,1,1,,JAPAN,SEIKAIDO
1939,4,18,6,22,45,1,1,7.4,0,-27,-70.5,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1939,4,30,2,55,29.1,3,1,7.9,0,-9.295,159.234,10.5,8,3.4,1.5,12,,,,,2,,,SOLOMON ISLANDS,SOLOMON ISLANDS
1939,5,1,5,58,,4,1,7,0,40.1,139.5,1.2,25,-1.7,0,27,,,52,,2,479,,JAPAN,NW. HONSHU ISLAND
1939,5,6,17,0,7,1,1,6.5,0,13.5,121.25,,1,,0.5,,,,,,,,,PHILIPPINES,"TAYABAS BAY, SULU SEA"
1939,5,8,1,46,53,4,1,6.7,0,37.198,-24.356,0.2,2,,1,,,,,,2,,,PORTUGAL,AZORES
1939,6,22,19,19,33,2,1,6.4,0,5.568,-0.625,,2,,,22,,,130,,3,1500,,GHANA,GOLD COAST
1939,7,24,,,,2,6,,0,12.3,-61.63,2,3,,,,,,,,,,,GRENADA,KICK 'EM JENNY VOLCANO
1939,8,15,3,52,,2,1,5.6,0,22.2,-79.1,,1,,,,,,,,,,,CUBA,SANTA CLARA
1939,12,21,21,0,40,3,1,8,0,0,123,,2,,,,,,,,2,,,INDONESIA,N. MOLUCCAS ISLANDS
1939,12,26,23,57,22.6,4,1,7.7,0,39.77,39.533,0.53,11,,4,32700,,,100000,20,3,120000,,TURKEY,SOUTH BLACK SEA
1940,1,15,13,19,24,2,1,5.1,0,38.067,13.467,,0,,3,,,,,,,,,ITALY,NORTHERN SICILY
1940,5,24,16,33,57,2,1,8.2,0,-10.5,-77,2,5,1,1.5,179,,,3500,,3,,,PERU,CENTRAL PERU
1940,8,1,15,8,24,4,1,7.5,1,44.2,139.5,5,62,1.8,1.5,10,,,,,2,20,,JAPAN,W. HOKKAIDO ISLAND
1940,8,31,7,,,4,8,,0,65.883,13.167,,0,,2,,,,,,2,,,NORWAY,NORTHERN NORWAY
1940,10,4,7,54,42,1,1,7.3,0,-22,-71,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1940,10,11,18,41,13,1,1,7,0,-41.5,-74.5,,0,,,,,,,,,,,CHILE,SOUTHERN CHILE
1941,1,13,16,27,44.7,4,1,7.4,0,-4.175,152.071,0.15,3,-3.3,-2.5,4,,,,,2,1,,PAPUA NEW GUINEA,BISMARCK SEA
1941,1,20,3,37,1.9,2,1,6,0,35.221,33.751,,1,,2,,,,,,2,,,CYPRUS,LEVANTIAN SEA
1941,2,9,9,44,4,0,1,6.6,0,40.5,-125.25,,3,,,,,,,,1,,,USA,NORTHERN CALIFORNIA
1941,3,16,18,48,,2,1,,0,38.3,12.2,,0,,2,,,,,,,,,ITALY,CALABRIAN ARC
1941,6,26,11,52,3.7,4,1,8,0,11.94,92.626,1.5,2,,,,,,,,4,,,INDIA,"ANDAMAN SEA, E. COAST INDIA"
1941,7,7,,,,3,8,,0,28.48,-16.25,6,2,,,,,,1,,,,,SPAIN,"TENERIFE, CANARY ISLANDS"
1941,11,18,16,46,,4,1,7.4,0,32,132.1,1.2,11,0.3,0,2,,,,,1,27,,JAPAN,SEIKAIDO
1941,11,25,18,3,57.5,4,1,7.8,0,37.301,-18.966,0.23,14,,2,,,,,,,,,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE
1941,12,5,20,46,58,4,1,7.6,0,8.7,-83.2,0.23,1,-3.3,-3,6,,,,,2,,,COSTA RICA,COSTA RICA-PANAMA
1941,12,6,21,24,40,4,1,6.9,0,8.5,-84,0.1,1,-3.3,-4,,,,,,,,,COSTA RICA,COSTA RICA-PANAMA
1942,5,22,10,30,36,1,1,5.8,0,4.6,-74.5,1,1,,1,,,,,,2,,,COLOMBIA,COLOMBIA
1942,5,,,,,3,0,,0,-20.6,165,3,2,,,,,,,,,,,NEW CALEDONIA,NEW CALEDONIA
1942,8,24,22,50,27,4,3,8.2,0,-15,-76,2,3,1,1,30,,,25,,3,,,PERU,S. PERU
1943,4,6,16,7,15,4,1,8.2,0,-30.75,-72,1,12,,,11,,,,,1,,,CHILE,CENTRAL CHILE
1943,6,13,5,12,0,4,1,7.1,0,41.2,143.3,0.6,1,-0.7,-0.5,,,,,,,,,JAPAN,SE. HOKKAIDO ISLAND
1944,4,9,2,30,,0,8,,0,,,9.14,1,,,,,,,,,,,USA,"COLUMBIA RIVER VALLEY, WA"
1944,8,20,6,30,,4,6,,0,38.789,15.213,,1,,4,,,,,,1,1,,ITALY,STROMBOLI ISLAND
1944,9,14,,,,1,9,,0,38.933,-74.9,,1,,,,,,,,,,,USA,NEW JERSEY COAST
1944,10,6,2,34,47.6,3,1,6.7,0,39.509,26.587,,1,,2,30,,,,,4,5500,,TURKEY,"EDREMIT GULF, AEGEAN SEA"
1944,12,7,4,35,,4,1,8.1,0,34,137.1,10,156,2.9,2.5,1223,,,2135,,3,29205,46950,JAPAN,OFF SOUTHEAST COAST KII PENINSULA
1944,,,,,,1,0,,0,40.3,-74,,1,,,,,,,,,,,USA,"CONEY ISLAND, NY"
1945,1,12,18,38,,4,1,7.1,0,34.7,137.2,1,7,-0.7,-0.5,2306,,,896,,4,7221,,JAPAN,TOKAIDO
1945,2,10,4,57,0,4,1,7.3,0,40.9,142.1,0.4,1,-1.3,-1.5,2,,,,,,2,,JAPAN,SANRIKU
1945,11,27,21,56,50,4,3,8,2,24.5,63,17,39,3.9,,4000,,,,25,4,,,PAKISTAN,MAKRAN COAST
1946,4,1,12,29,1.3,4,3,8.6,11,53.492,-162.832,42,621,5.1,4,168,,,,26.271,4,,,USA,"UNIMAK ISLAND, AK"
1946,6,23,17,13,19,4,3,7.3,1,49.87,-124.92,9,5,4.9,2,,,,,,1,,,CANADA,BRITISH COLUMBIA
1946,8,2,19,18,48,2,1,7.9,0,-26.5,-70.5,,0,,9,2,,,,,3,,,CHILE,NORTHERN CHILE
1946,8,4,17,51,5,4,1,7.9,0,19.25,-69,5,8,2.2,,1790,,,,,3,,,DOMINICAN REPUBLIC,NORTHEASTERN COAST
1946,8,8,13,28,33.8,4,1,7.5,0,19.5,-69.5,0.6,13,,,75,,,,,,,,DOMINICAN REPUBLIC,NORTHEASTERN COAST
1946,9,30,0,59,40,2,1,7,0,-14,-76.25,,0,,,,,,,,2,,,PERU,S. PERU
1946,11,1,11,14,24,1,1,7,0,51.5,-174.5,,1,,,,,,,,,,,USA,"ANDREANOF ISLANDS, AK"
1946,11,13,6,,,3,6,,0,48.092,153.2,,0,,,,,,,,,,,RUSSIA,N. KURIL ISLANDS
1946,12,20,19,19,5,4,1,8.1,1,33,135.6,6.6,304,2.7,2.5,1362,,,,,4,11661,,JAPAN,HONSHU: S COAST
1947,1,,,,,-1,9,,0,,,,0,,0,,,,,,,,,USA,HAWAII
1947,3,25,20,32,15,3,3,7.1,0,-38.85,178.87,10,10,3.3,3,,,,,,1,,,NEW ZEALAND,OFF COAST OF NORTH ISLAND
1947,5,17,7,6,0,4,1,6.9,0,-38.42,178.88,6,5,2.6,,,,,,,,,,NEW ZEALAND,OFF COAST OF NORTH ISLAND
1947,10,6,19,55,37,3,3,6.9,0,37,22,1,1,,2,3,,,20,,4,7000,,GREECE,"PELOPONNESUS, GREECE"
1947,11,4,0,9,10,4,1,7,0,43.8,141,2,4,1,1,,,,,,1,,,JAPAN,W. HOKKAIDO ISLAND
1948,1,24,17,46,40,3,1,8.3,0,10.5,122,,1,1,1.5,74,,,,3.5,2,,,PHILIPPINES,SULU SEA
1948,2,9,12,58,18.4,4,1,7.3,0,35.64,27.158,7.3,11,,4,,,,,,1,,,GREECE,"DODECANESE, KARPATHOS IS."
1948,4,17,16,11,0,4,1,7.2,0,33.1,135.6,0.6,3,-0.7,-1,,,,,,,,,JAPAN,TOKAIDO
1948,4,22,10,42,47.1,4,1,6.5,0,38.532,20.427,1,1,,4,2,,,45,,3,244,2022,GREECE,IONIAN SEA
1948,5,23,9,13,18,2,1,6,0,37.2,121.8,3,1,,,,,,,,1,,,CHINA,SHANDONG PROVINCE
1948,6,1,18,58,18,3,1,6.3,0,6,95,,1,-0.5,0,,,,,,,,,INDONESIA,OFF NORTHWEST COAST
1948,9,8,15,9,0,4,1,7.8,0,-21,-174,2,6,1,1.5,,,,,,,,,TONGA,TONGA TRENCH
1948,12,3,0,22,48,2,1,6.9,0,22,-106,5,1,1,1.5,4,,,21,,3,,,MEXICO,MEXICO
1948,12,26,7,12,21,3,1,7,0,-22.5,-69,,1,-0.5,0,,,,,,,,,CHILE,NORTHERN CHILE
1949,1,27,11,0,0,4,1,5.9,0,54.6,163.5,,1,,,,,,,,,,,RUSSIA,KAMCHATKA
1949,2,9,13,28,39,1,1,,0,38.2,20,,0,,,,,,,,,,,GREECE,WEST COAST OF GREECE
1949,4,13,19,56,,3,3,7,0,47.167,-122.617,,1,,,8,,,,25,4,,,USA,"PUGET SOUND, WA"
1949,4,16,10,55,,4,8,,0,,,2.4,1,,,,,,,,1,,,USA,"PUGET SOUND, WA"
1949,4,20,3,29,7,2,1,7.3,0,-38,-73.5,,0,,,,,,,,,,,CHILE,CENTRAL CHILE
1949,5,9,13,36,18,2,1,6.7,0,5,95,,0,,,,,,,,,,,INDONESIA,BANDA ACEH
1949,7,23,15,3,35.5,3,1,6.5,0,38.718,26.482,2,4,,2,7,,,435,,4,534,5501,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS"
1949,7,27,,,,0,8,,0,,,19.81,1,4.3,,,,,,,1,,,USA,"COLUMBIA RIVER VALLEY, WA"
1949,8,22,4,1,0,4,3,8.1,0,53.6,-133.3,0.61,9,-1,,,,,,,,,,CANADA,BRITISH COLUMBIA
1949,9,5,2,54,1,0,1,6.4,0,17,121.5,0.1,1,,-4,,,,,,,,,PHILIPPINES,NORTHERN LUZON ISLAND
1949,9,27,15,30,45,-1,1,6.7,0,59.75,-149,,1,,,,,,,,,,,USA,"GULF OF ALASKA, AK"
1949,10,19,21,0,19,4,1,7.5,0,-5.5,154,0.3,5,-1.7,-1,,,,,,,,,PAPUA NEW GUINEA,SOLOMON SEA
1949,12,17,6,53,30,1,1,7.8,0,-54,-71,,0,,,1,,,,,1,,,CHILE,SOUTHERN CHILE
1949,12,17,15,7,55,2,1,7.8,0,-54,-71,,2,-0.5,,3,,,,,1,,,CHILE,SOUTHERN CHILE
1949,12,29,3,3,54,1,1,7.2,0,17,121.63,,2,1,1.5,16,,,,,2,,,PHILIPPINES,E. LUZON ISLAND
1950,1,30,0,56,32,1,1,7,0,-53.5,-71.5,,0,,,,,,,,,,,CHILE,SOUTHERN CHILE
1950,3,14,18,10,41,2,1,5.8,0,-37.8,177.2,,1,,0,,,,,,,,,NEW ZEALAND,N. NEW ZEALAND
1950,4,30,23,49,24,0,1,,0,6.5,-83,,1,,,,,,,,,,,PANAMA,OFF COAST
1950,8,3,22,18,22,2,1,6.4,0,9.71,-69.819,,1,,,100,,,,,1,,,VENEZUELA,EL TOCUYO
1950,8,15,14,9,30,0,1,8.6,0,28.5,96.5,0.5,41,,,1530,,,,20,3,,,INDIA,INDIA-CHINA
1950,10,5,16,9,31,4,1,7.7,0,11,-85,0.1,8,-3.3,-2,,,,,,1,,,COSTA RICA,COSTA RICA-NICARAGUA
1950,10,8,3,23,9,3,1,7.6,0,-3.8,128.3,,2,1.5,2,1,,,,,3,,,INDONESIA,BANDA SEA
1950,10,8,,,,1,8,,0,63.433,10.383,,0,,,,,,,,,,,NORWAY,MID-NORWAY
1950,10,23,16,13,20,4,1,7.5,0,14.31,-91.917,0.2,5,-1.3,-1,,,,,,3,,,GUATEMALA,GUATEMALA
1950,11,8,2,18,12,3,1,7.3,0,-10,159.5,1.2,2,,,,,,,,,,,SOLOMON ISLANDS,SOLOMON SEA
1950,12,2,19,51,49,3,1,7.8,0,-18.25,167.5,2.5,5,,,,,,,,,,,VANUATU,VANUATU ISLANDS
1950,12,10,2,50,42,2,1,7,0,-14.25,-77.75,0.7,1,-0.5,0,4,,,12,,2,,,PERU,S. PERU
1950,12,14,14,15,49,4,1,7.5,0,16.48,-98.22,0.3,2,-1.5,,,,,,,3,,,MEXICO,S. MEXICO
1951,2,22,1,45,48.9,2,1,6.1,0,-3.252,142.238,6,1,,,,,,,,1,,,PAPUA NEW GUINEA,BISMARCK SEA
1951,2,23,16,45,,0,8,,0,,,3,1,1.6,,,,,,0.003,1,,,USA,"COLUMBIA RIVER VALLEY, WA"
1951,8,3,0,23,58,1,3,6,0,13,-87.5,,1,,,,,,,,3,,,NICARAGUA,COSIGUINA VOLCANO
1951,8,21,10,57,0,4,1,6.9,0,19.5,-156,3.6,7,1.8,0.5,,,,,,1,,,USA,HAWAII
1951,10,22,5,43,1,4,1,7.3,0,23.8,121.7,0.3,2,,,68,,,586,,3,2382,,TAIWAN,TAIWAN
1951,12,21,8,37,29,0,1,6.3,0,26.7,100,2,1,,,,,,,,,,,CHINA,CHINA: GANSU AND SHANXI PROVINCES
1951,12,22,,,,3,6,,0,-9.02,157.95,,0,2.6,,,,,,,,,,SOLOMON ISLANDS,KAVACHI
1952,1,9,8,,,4,8,,0,64.883,12.417,2,0,,2,,,,,,,,,NORWAY,MID-NORWAY
1952,3,4,1,22,41,4,1,8.1,0,42.15,143.85,6.54,218,2.7,2,33,,,572,,3,2422,,JAPAN,SE. HOKKAIDO ISLAND
1952,3,9,17,4,0,4,1,7,0,41.7,143.6,0.3,4,-1.7,-2,,,,17,,2,113,,JAPAN,SE. HOKKAIDO ISLAND
1952,3,17,3,58,0,4,1,4.5,0,19.1,-155,3,2,,0,,,,,,,,,USA,HAWAII
