Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1841,,,,,,1,0,,0,,,,1,,,,,,,,,,,PERU,PERU
1842,5,7,21,,,4,1,8.1,0,19.75,-72.2,5,6,4.2,,5300,,,,,4,,,HAITI,CAP-HAITIAN
1842,11,1,,,,2,1,,0,,,,0,,,,,,,,,,,CANADA,ST. LAWRENCE
1842,11,11,,,,1,1,6,0,24,89.25,,3,,,,,,,,1,,,BANGLADESH,BAY OF BENGAL:  NORTHERN END
1843,1,5,,,,4,1,7.3,0,1.5,98,,3,,2,,,,,,3,,,INDONESIA,SW. SUMATRA
1843,2,7,,,,1,1,6,0,-7.2,114,,1,,0,,,,,,,,,INDONESIA,BALI SEA
1843,2,8,14,50,,4,1,8.3,0,16.5,-62.2,1.2,1,0.3,,5000,,,,,4,,,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE
1843,2,17,,,,1,6,,0,15.933,-61.267,,1,,,,,,,,,,,GUADELOUPE (FRENCH TERRITORY),MARIE-GALANTE ISLAND
1843,4,25,,,,4,1,8.4,3,42,146,4.5,8,2.2,2.5,45,,,,,2,75,,JAPAN,SE. HOKKAIDO ISLAND
1843,7,5,,,,1,0,,0,,,,0,,,,,,,,,,,UK,"CORNWALL, ENGLAND"
1843,7,8,5,5,,2,1,7.5,0,-39.9,175,,1,,,,,,,,,,,NEW ZEALAND,NEW ZEALAND
1843,9,14,10,30,,2,1,6.5,0,42.6,18.1,,2,,4,,,,,,,,,CROATIA,DUBROVNIK
1843,10,18,,,,2,1,6.5,0,36.3,27.6,,1,,4,,,,,,,,,GREECE,ISLAND OF CHALKI
1844,3,3,18,25,,2,1,,0,,,,1,,3,,,,,,,,,CROATIA,DUBROVNIK
1844,3,8,,,,-1,0,,0,,,,0,1,1,,,,,,,,,JAPAN,"IAMACHI, JAPAN"
1844,3,22,10,13,,2,1,,0,43.4,16.7,,1,,2,,,,,,,,,CROATIA,DUBROVNIK
1844,5,,,,,0,1,7.4,0,11.2,-84.8,,0,,,,,,,,2,,,NICARAGUA,LAKE NICARAGUA
1845,2,8,7,30,,3,1,7,1,1.5,124.85,,1,0,0,118,,,,,2,,,INDONESIA,CELEBES SEA
1845,4,7,,,,3,1,8,0,17,-100.6,,1,,1.5,,,,,,2,,,MEXICO,S. MEXICO
1845,6,18,,,,1,1,,0,36.4,13.44,,1,,,,,,,,,,,ITALY,ISLAND OF SICILY
1845,6,19,,,,3,1,6.3,0,23.583,68.367,,3,,,,,,,,2,,,INDIA,RANN OF KUTCH
1845,7,5,,,,1,1,,0,-39.93,175.05,1,1,,0.5,,,,,,,,,NEW ZEALAND,N. NEW ZEALAND
1845,8,16,16,38,,1,1,,0,,,,1,,3,,,,,,,,,CROATIA,DUBROVNIK
1845,9,,,,,-1,1,,0,,,,1,1,0,,,,,,,,,JAPAN,"NAGASAKI, JAPAN"
1845,,,,,,3,8,,0,,,,1,,3,100,,,,,,,,USA,"SE. ALASKA, AK"
1846,1,25,0,0,,4,1,7.3,0,2,126.5,1.2,2,,0.5,,,,,,,,,INDONESIA,"TERNATE ISLAND, N. MOLUCCAS ISLANDS"
1846,3,,,,,4,1,6.9,0,39.5,142.5,2,2,1,1,,,,,,,,,JAPAN,SANRIKU
1846,5,7,,,,4,0,,0,-38.96,175.73,,0,,,,,,,,,,,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND"
1846,7,25,17,30,,2,1,,0,,,,1,,3,,,,,,,,,TURKEY,IZMIR
1846,8,14,12,35,,3,1,6.1,0,43.4,10.6,,1,,3,56,,,,,3,,,ITALY,LIVORNO
1846,8,26,17,23,,3,1,,0,43.5,10.5,,2,,4,,,,,,,,,ITALY,TUSCANY
1846,9,12,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,9,19,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,10,4,22,15,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,10,14,11,15,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,10,19,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,10,24,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,10,28,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,11,29,0,55,,3,1,,0,,,,0,,,,,,,,,,,ITALY,TUSCANY
1846,12,3,,,,2,1,,0,43.3,10.7,,2,,3,,,,,,,,,ITALY,TUSCANY
1846,,,,,,2,1,,0,,,,0,,3,,,,,,,,,TURKEY,ISMIR
1847,4,15,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO
1847,4,16,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO
1847,4,17,,,,3,1,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO
1847,5,23,,,,2,1,,0,-12.1,-77.1,2,1,1,1.5,,,,,,1,,,PERU,CENTRAL PERU
1847,7,9,,,,4,8,,0,39.483,-31.233,7,2,,,10,100,2,,,,,,PORTUGAL,AZORES
